,community area name,total_pop,pctpov,pctpoc,unemplrate,medhhinc,dep_ratio,child_perc,seniorperc,avg_temp,bgpopdense,tc_gap,phys_hlth,ment_hlth,asthma,core_m,core_w,core_norm,healthnorm,tes
16,Clearing,1377.9285714285713,0.32630817275953283,0.620388529402354,0.09313309895048746,59134.69047619047,0.6021025548695501,0.24465091345986317,0.12897868828246592,85.38286244161364,5349.7162402861595,0.24519218204021273,12.171428571428573,12.914285714285715,9.128571428571428,29.2,25.442857142857147,0.5301671508568063,0.34121779497125154,78.42763496740868
17,Douglas,1267.6833333333334,0.540842644512195,0.8904048845059327,0.14358541592084922,33249.25,0.5086402557970893,0.16812477230829181,0.13911044348563087,78.53386192691309,7352.921409156251,0.15262454102291054,15.030000000000001,14.88,12.16,23.06,20.97,0.3169687592101385,0.4183089435965569,86.07867759258473
18,Dunning,1361.6287878787878,0.24105686518184946,0.363496534739774,0.0455649761963107,70112.47575757575,0.618115192214643,0.1947392933583843,0.18193841500926522,84.00499059476186,5073.10829830423,0.18257642568841456,11.354545454545455,11.745454545454548,8.963636363636363,32.08181818181818,27.354545454545452,0.6262224365672642,0.3356865779471072,87.03627885021214
19,East Garfield Park,1143.6666666666667,0.7039746505051082,0.9440735553474199,0.1777259417414173,24558.583333333332,0.728414175291657,0.3153129416790636,0.09478635304275874,80.57494464785262,4860.869265568478,0.2255163190127422,19.408333333333335,19.133333333333333,14.15,18.516666666666666,17.441666666666666,0.1545399842813636,0.5323516746838332,74.19662040936306
20,East Side,1713.3194444444446,0.506951121512513,0.8571051021078867,0.14762312095390048,47114.3888888889,0.7176296634177426,0.29927807666521855,0.11096807987096309,80.91271079299018,4282.228242688906,0.22808057961209682,14.533333333333333,14.033333333333333,9.333333333333334,24.116666666666664,21.96666666666667,0.3585077119559877,0.34314369940157036,77.97442714799918
21,Edgewater,1261.2794117647059,0.34143958070030395,0.4628648033143873,0.06232341248788515,53997.92156862745,0.42702318491979285,0.10508647666784891,0.15588804056043934,76.26067482316905,31452.226922883667,0.107105111968109,9.535294117647059,11.323529411764707,8.811764705882354,32.01764705882353,28.099999999999998,0.6409216206376451,0.31159019244202585,93.70158815318803
22,Edison Park,1207.5333333333333,0.08408486463107033,0.15298575586762567,0.017320534486153335,111763.73333333334,0.6042469155504926,0.22319245874496033,0.14951137707615847,83.16237136803475,3629.457699570344,0.1708644814165152,9.0,9.633333333333333,8.4,37.233333333333334,31.03333333333333,0.8035170448963553,0.31165861662646765,90.70545121318521
23,Englewood,627.3030303030303,0.6726156460796253,0.991281578110209,0.24864392162601942,21151.707575757577,0.6792808138635901,0.2437977534292197,0.14380199456720516,79.10960334823764,3249.1162172325667,0.1489394810758542,20.436363636363637,19.381818181818183,14.6,18.254545454545454,16.87272727272727,0.13736168046512864,0.5526560065441616,82.90539447045916
24,Forest Glen,1135.6041666666667,0.12179177660867589,0.2955310223834428,0.044420499354256605,114787.5625,0.7797258614368535,0.2391130214855871,0.18861487637470134,79.39491733151739,2975.763109114797,0.08257050029370444,9.275,9.325,8.2,36.375,31.45,0.7959770114942528,0.30300788854606076,95.02545063801196
25,Fuller Park,580.0,0.6447930577767592,0.984877024694636,0.32976481784899125,18561.75,0.9652161325967565,0.17191401042984927,0.29586660892803374,80.68817499182457,1266.3454070868527,0.36463413738547373,17.1,15.25,12.75,21.0,19.5,0.24609490126731498,0.44056030432517,56.07819363541203
26,Gage Park,1735.1354166666667,0.581814706671239,0.9582270387149935,0.12739622520585953,40422.09375,0.6573586451375865,0.30903870823347723,0.08288244676771739,84.74533330230867,7211.36861108301,0.18415061927608534,13.8,14.9375,9.337499999999999,21.675,20.8625,0.28813918361332164,0.33210723711046647,79.65202959724024
27,Garfield Ridge,1312.5866666666666,0.2976370899304041,0.6468262080952962,0.11316421581864641,63520.78666666667,0.6379605961801432,0.2248920776788971,0.1581054047033294,84.06345995230495,3897.779379006108,0.2503958477589108,12.58,12.39,9.33,28.57,24.82,0.5047892720306513,0.3358094443978388,78.44142974644888
28,Grand Boulevard,1055.9761904761904,0.5297348768826291,0.9728581601097683,0.19458487103862046,40199.29761904762,0.6843148613344213,0.26194206498554595,0.12023801300235745,78.65371582357089,5533.438905132089,0.18369632759991,15.484615384615385,15.407692307692308,13.03076923076923,22.43846153846154,20.700000000000003,0.299292661361627,0.41526517358035775,81.18611967329316
