,community,total_pop,pctpov,pctpoc,unemplrate,medhhinc,dep_ratio,child_perc,seniorperc,avg_temp,bgpopdense,tc_gap,phys_hlth,ment_hlth,asthma,core_m,core_w,core_norm,healthnorm,tes,trees_planted
46,Mount Greenwood,1147.0375,0.111023121068798,0.145913199335886,0.038025067257762,100371.7,0.602781743723428,0.237854562611598,0.132756316868681,83.0689434396493,3620.02381461966,0.22156933692897,8.8,10.975,8.825,35.5,29.95,0.747163277335691,0.32603921918332,87.6826951490664,9.3
47,Near North Side,1529.31488095238,0.191453870198767,0.305193029077561,0.039140979478632,101293.367261905,0.369424582825211,0.073726434721869,0.168984635654503,76.9282976216743,21036.7858984874,0.178313039548062,7.085,9.385,8.325,36.33,32.465,0.81680297671677,0.290736083251829,91.1876473395296,16.9
48,Near South Side,2562.91666666667,0.277141149822967,0.629374268025544,0.010789904897067,93175.0833333333,0.489062126904808,0.132318035761672,0.158786910160566,78.5477254478602,8526.29538146943,0.253458421979949,7.96666666666667,9.36666666666667,8.63333333333333,32.0333333333333,28.8666666666667,0.657603890362511,0.266682092261619,84.6531884428159,13.1
49,Near West Side,1650.35416666667,0.426573157108347,0.666402027825738,0.10886757758219,62835.2833333333,0.387108276205542,0.164854492783521,0.087758281632068,81.1110090358475,7643.24880013238,0.23745178279012,10.43,13.235,10.11,27.355,25.22,0.490060418508694,0.342607040881808,79.889629663592,14.7
50,New City,1109.34803921569,0.624953916740828,0.892369496070777,0.194396358429627,32247.3725490196,0.69933661313674,0.274499701338705,0.128998184496647,81.0866056407428,5694.40779633298,0.158348001558627,16.5235294117647,17.0411764705882,11.3764705882353,20.2,19.4411764705882,0.229512317747612,0.424743078176204,83.2210475089193,5.1
51,North Center,1324.52142857143,0.11931013843718,0.233808598894965,0.030274446827151,119480.554761905,0.470321779153512,0.239011373736655,0.072661663781357,80.5413117069672,8155.55058793473,0.084215293407893,6.24285714285714,9.65,7.96428571428571,36.5214285714286,33.0142857142857,0.832207064965685,0.281683001346678,95.5741438462977,18.6
52,North Lawndale,1059.11111111111,0.662690141516398,0.959413510170809,0.16023362808258,28409.4222222222,0.670126671536021,0.277122724587532,0.113716884506667,80.9207393118274,4846.56810686376,0.214802387430082,18.3666666666667,18.4533333333333,13.7533333333333,19.14,17.8266666666667,0.174707731604283,0.507444865207219,76.0424988334353,4.1
53,North Park,1474.74166666667,0.302099171138434,0.466699884649988,0.063943374930536,66536.4333333333,0.819322234074992,0.210401974962073,0.20578977738629,78.9308970610857,4851.88404167435,0.106205456209368,10.675,10.35,8.3,32.325,28.475,0.654822428529325,0.299231710946627,93.1638158301075,9.9
54,Norwood Park,1074.72823129252,0.166445151351051,0.206227145121936,0.043171750057874,79683.8918367347,0.644837640728055,0.199881515447182,0.18370561854021,82.8921897217077,3673.15628692765,0.191402927259497,10.4285714285714,10.4,8.62857142857143,34.6857142857143,28.6142857142857,0.703023030609237,0.317526696145292,88.4278934095683,13.5
55,Oakland,1184.55555555556,0.57161671254593,0.981326024300085,0.198975322817658,28312.9444444444,0.737880414539709,0.323638640073566,0.090803442473713,77.8492440777008,5543.18769069428,0.187890120691413,14.8666666666667,16.4,13.4333333333333,21.1,20.6333333333333,0.2722271342961,0.459029025908748,80.4711126097678,1.9
56,Ohare,2023.15,0.393415544813334,0.336082987615105,0.065119348052956,50914.3,0.557945590253497,0.195884477483114,0.151881488456608,79.2535885421711,3704.2692728439,0.200392527736769,11.88,12.3,9.12,31.58,26.52,0.59877689360448,0.346066913681472,85.0507433494753,5.8
57,Portage Park,1328.57244897959,0.293404551533427,0.525116185892283,0.065169277475913,64296.9857142857,0.525876203174901,0.212125266623413,0.126987266410697,83.9587454648195,6570.92777259777,0.155079807251675,11.1785714285714,12.1,8.90714285714286,30.6,26.9142857142857,0.588427855669235,0.328500959370274,87.8683863941562,16.8
58,Pullman,868.666666666667,0.453287597176849,0.853441191527248,0.200733910897761,42458.5833333333,0.474478012713345,0.16336293936487,0.152482404843038,80.4349798383187,1958.51721247233,0.247812228631795,14.7,14.5666666666667,12.1,24.2333333333333,22.8,0.37854897337656,0.424320157693846,75.6097445248671,3.8
59,Riverdale,1041.375,0.865294165496584,0.977940911751873,0.389165641716362,15150.375,0.892610657871657,0.402877853289045,0.064311342195677,77.6848076389028,2034.90239028676,0.179332980708392,22,22.95,16.15,16.55,15.7,0.07964927792514,0.644495085642081,76.3163033523101,0.7
60,Rogers Park,1519.97222222222,0.470454959324838,0.546999579792882,0.063444952471475,38800.1597222222,0.392808037587846,0.158066335421863,0.110636319255799,75.9725457015538,12081.7491476417,0.05634146668371,11.6166666666667,13.8666666666667,10.0333333333333,27.6916666666667,25.2166666666667,0.496438746438747,0.363460268021874,95.8806638834811,24.9
61,Roseland,1012.83333333333,0.446929559045663,0.987451445323009,0.205555200074921,40019.0071428571,0.693301538301819,0.217702063157587,0.1815239831198,81.2621071701818,3493.08341643828,0.18338755215307,15.4642857142857,14.35,12.6357142857143,23.3214285714286,21.4214285714286,0.331622879036672,0.429667056831358,81.0928602676961,5.6
62,South Chicago,1012.39642857143,0.609322711963745,0.973446739278816,0.199493771672349,30442.6226190476,0.746317180413919,0.261343501690802,0.154925187249829,80.0994680169272,4657.60050537856,0.164513025747335,17.28,16.27,12.37,20.63,19.78,0.244989684644857,0.448268643068072,82.0241007742751,8.3
63,South Deering,1378.375,0.539211902959856,0.949546268468254,0.213406081031804,37125.8541666667,0.762090693098606,0.258752584103796,0.169331046888729,79.1627346544122,2621.25456530777,0.222252761249479,17.075,15.375,11.75,21.325,20.2,0.267278219864426,0.423456061931468,76.9954789961528,5.1
64,South Lawndale,2060.5462962963,0.659121054058765,0.959877787646986,0.101015756096635,33796.0833333333,0.658381447981935,0.303492670945228,0.081547947530096,82.297329370094,10433.2037696171,0.126693124915302,17.0055555555556,17.0777777777778,10.0833333333333,18.3277777777778,18.3555555555556,0.170448963552412,0.384150720527816,86.3969139030778,6.1
65,South Shore,1076.11333333333,0.558002379110754,0.975876971478055,0.185468146433465,30901.1766666667,0.632974623902123,0.240650282032162,0.133272621108769,78.411647298573,7734.33770651346,0.125369436483556,15.9866666666667,15.36,12.9533333333333,22.12,20.54,0.289773062186855,0.447151895740566,87.0693062608976,9
66,Uptown,1420.49583333333,0.373387292652831,0.435523217964101,0.053447598830291,57686.6430555556,0.377898295929603,0.122091771091877,0.124871123756063,76.8039729737132,16349.0191125443,0.10552596693284,10.0083333333333,11.8916666666667,9.01666666666667,30.775,27.4,0.602158856469201,0.320000836853437,93.4991491738085,17.9
67,Washington Heights,1099.075,0.393793286110562,0.988352378179696,0.173024795391093,48253.99375,0.684935437511081,0.201332846715701,0.195370638539722,82.3910828667986,3940.13110518981,0.205162330328986,14.475,13.025,12.1,24.2875,22.7,0.377449896846448,0.398630251450375,78.6466372443196,4.8
68,Washington Park,1114.02777777778,0.609378798388433,0.991175618608652,0.190866227147093,27234.4444444444,0.690969712291412,0.322869650835785,0.07981707101044,78.3904184885649,4020.21059143173,0.186823070077709,16.05,17.6833333333333,13.75,20.3666666666667,19.0833333333333,0.225058944886531,0.485732456863817,80.4375037735033,11.7
69,West Elsdon,1286.10416666667,0.376674951199546,0.841242929063417,0.095906443891551,58122.3333333333,0.623529542000279,0.273315661912922,0.107256694925638,84.7622561250291,6372.36500634861,0.213077556665686,12.025,12.8,8.65,26.85,23.4,0.44149720011789,0.304395049493675,79.9593113829163,8.8
70,West Englewood,820.157894736842,0.620232313907224,0.988636885287079,0.275870950626451,26478.5131578947,0.775696195979578,0.239161970497118,0.189593749488828,80.2556014895807,3630.50198244103,0.140196223796225,18.1894736842105,17.4894736842105,13.7105263157895,19.5894736842105,18.5157894736842,0.19804318488529,0.496003354892241,83.7475502711182,6
71,West Garfield Park,1172.6,0.692258121169857,0.976481380376514,0.190298953573521,25243.25,0.748145601741882,0.307845944937738,0.115445511904361,81.1848346188155,5081.7743043302,0.19903710414623,20.27,19.59,14.62,18.26,16.97,0.139544650751547,0.555193141806283,76.2747898590307,10.7
72,West Lawn,1424.06944444444,0.449976120383827,0.867027082606508,0.126833035129115,51479.7638888889,0.684380765148738,0.294438573471858,0.104595163968935,85.0649054101555,6012.60916483643,0.218298207689786,12.95,13.6,9.03333333333333,25.05,22.2666666666667,0.382797917280676,0.3200163682702,77.6735161861763,10.1
73,West Pullman,1203.35416666667,0.502616356435629,0.993304708733995,0.229600317101069,40395.5229166667,0.652692379517202,0.23503014488788,0.152780805945436,80.0494734867179,3030.05977899556,0.132044962549602,15.5875,15.0125,12.625,21.825,21.225,0.298758473327439,0.432374074606477,85.7819817221398,5.9
74,West Ridge,1723.69642857143,0.432588280949274,0.561938147133069,0.073097551966344,55835.1547619048,0.667313832221197,0.243976098767204,0.145120657819605,78.9245707051232,9328.48848075825,0.074157532008742,12.35,12.4642857142857,9.15714285714286,29.0357142857143,25.4642857142857,0.527477790408825,0.336199021219477,94.5720906533302,13.7
75,West Town,1410.87634408602,0.227503632947594,0.385893474387604,0.038572996344473,94995.2715053763,0.288585737046868,0.150728822834598,0.067087926911702,80.4478469937821,8800.52541870328,0.152263733767193,7.20967741935484,10.5387096774194,8.13548387096774,32.6741935483871,29.8774193548387,0.691478185638364,0.273441907971222,91.1652979571461,15.7
76,Woodlawn,1211.24848484848,0.581848642893051,0.9164720377114,0.184231802606775,28438.4727272727,0.592031830852539,0.230397651246093,0.128736884396428,78.2057538977143,6314.57847931817,0.154171037622306,15.7,15.9454545454545,12.8636363636364,21.6636363636364,20.0818181818182,0.271240253998875,0.446380123898657,84.3603617584654,9.3
